x,y,fx,fy
0,0,-0.107726455,0.06353546
20,0,-0.15933482,0.20482694
40,0,-0.25036308,0.27208683
60,0,-0.25542527,0.15601572
80,0,-0.27489868,0.05530955
100,0,-0.19695552,0.17348832
120,0,-0.2535828,0.23212063
140,0,-0.23444404,0.17370734
160,0,-0.34283757,0.09214233
180,0,-0.12681669,0.07895053
200,0,-0.22635855,0.001022615
220,0,-0.36176217,0.03440135
240,0,-0.24485664,0.21985671
260,0,-0.250322,0.24680296
280,0,-0.25300798,-0.02669784
300,0,-0.2376253,0.06331627
320,0,-0.21289413,0.059157882
340,0,-0.25528228,0.005196396
360,0,-0.19875926,-0.028741043
380,0,-0.30982092,0.09412826
400,0,-0.28962803,0.11243973
420,0,-0.26477492,0.24525055
440,0,-0.22589508,0.20780653
460,0,-0.13730441,0.26503807
480,0,-0.11109664,0.27617812
500,0,-0.24407595,0.03924199
520,0,-0.24310882,0.17917499
540,0,-0.23822501,0.08148311
560,0,-0.15495528,0.03634137
580,0,-0.24027938,0.018932417
600,0,-0.26109344,0.08077095
620,0,-0.23802921,0.009154971
640,0,-0.23847961,0.01983702
660,0,-0.27348852,-0.009579485
680,0,-0.27702314,-0.008295577
700,0,-0.24708155,0.0056023686
720,0,-0.18459597,-0.019983213
740,0,-0.2022448,0.089140244
760,0,-0.24808857,-0.005595576
780,0,-0.2622469,-0.009303449
800,0,-0.26806667,0.011241493
820,0,-0.26772276,-0.009420701
840,0,-0.28133348,-0.009779559
860,0,0.0258276,-0.15185288
880,0,-0.23898421,-0.046595998
900,0,-0.2512727,0.0068145734
920,0,-0.24841939,-0.008099821
940,0,-0.26777065,0.05554991
960,0,-0.2557261,0.006977891
980,0,-0.26837417,0.018850118
0,20,-0.009311008,0.26526883
20,20,-0.0021345222,0.2690833
40,20,-0.25922248,0.25021648
60,20,-0.27521366,0.18351594
80,20,-0.22886272,0.13218616
100,20,-0.30116072,-0.011431332
120,20,-0.23025078,0.061116442
140,20,-0.16833438,0.072041094
160,20,-0.050180912,-0.0025951338
180,20,-0.13505892,0.11152811
200,20,-0.22627166,0.06285493
220,20,-0.18608324,0.25999063
240,20,-0.33662328,0.009180258
260,20,-0.20210008,0.24969116
280,20,-0.25313696,0.10240077
300,20,-0.17234457,0.10273274
320,20,-0.17395473,0.18981813
340,20,-0.26925436,-0.0037516383
360,20,-0.16581191,0.16280329
380,20,-0.23454621,0.23784246
400,20,-0.25789127,0.20797294
420,20,-0.26080373,0.012749394
440,20,-0.24229135,0.049824804
460,20,-0.18221477,0.1786668
480,20,-0.18522441,0.22704318
500,20,-0.17972855,0.014607506
520,20,-0.22903007,0.09828477
540,20,-0.16267133,0.13830161
560,20,-0.20633978,0.008030986
580,20,-0.17886645,0.11337839
600,20,-0.25004336,0.23215555
620,20,-0.276374,-0.020093959
640,20,-0.23774168,0.11969664
660,20,-0.26418036,0.011289637
680,20,-0.18875025,-0.0144511685
700,20,-0.30814075,0.046554733
720,20,-0.28147453,0.01230686
740,20,-0.12055576,-0.007153358
760,20,-0.23017348,0.009824226
780,20,-0.25761196,-0.0004494784
800,20,-0.2555522,-0.014236346
820,20,-0.19487306,-0.036677103
840,20,-0.26694024,-0.004321213
860,20,-0.25503147,-0.009834231
880,20,-0.18689431,-0.08104258
900,20,-0.18502474,-0.015218007
920,20,-0.2600565,0.0011785056
940,20,-0.21912958,0.0024967548
960,20,-0.30325806,0.07585814
980,20,-0.2529408,-0.0019779752
0,40,-0.03367361,0.27006808
20,40,-0.06238146,0.26203063
40,40,-0.22334133,0.26863253
60,40,-0.25601098,0.22030668
80,40,-0.1259209,0.31160948
100,40,-0.24801356,0.18097696
120,40,-0.20410639,0.1413316
140,40,-0.15592618,0.119827084
160,40,-0.18694097,0.16504434
180,40,-0.11257052,0.1286018
200,40,-0.22647017,0.21507455
220,40,-0.20975877,0.27560717
240,40,-0.22703865,0.20498058
260,40,0.0021240946,0.2194593
280,40,-0.19679548,0.046453446
300,40,-0.17957434,0.037095502
320,40,-0.25804508,0.10040615
340,40,-0.066685766,0.24081554
360,40,-0.2578603,0.24239099
380,40,-0.24933738,0.21265203
400,40,-0.21895067,0.17017975
420,40,-0.26030672,0.008603959
440,40,-0.21665385,0.0069514303
460,40,-0.17562437,0.25299197
480,40,-0.21232696,0.15394993
500,40,-0.13557866,0.032354645
520,40,-0.26290762,0.0149304615
540,40,-0.27096662,0.012759745
560,40,-0.25649956,-0.0062076054
580,40,-0.2214901,0.0795353
600,40,-0.24373841,0.09838469
620,40,-0.24033824,0.070942886
640,40,-0.25982925,0.024438046
660,40,-0.27883083,0.036978755
680,40,-0.18790658,0.038967457
700,40,-0.27983215,0.07243176
720,40,-0.25555745,0.0036442094
740,40,-0.22950517,0.00831919
760,40,-0.24710503,0.035695337
780,40,-0.25476888,0.07614391
800,40,-0.2546812,0.029607583
820,40,-0.27209723,0.002161043
840,40,-0.25487837,0.00388053
860,40,-0.2608613,-0.0047686007
880,40,-0.124472596,-0.11004039
900,40,-0.018088676,-0.027054977
920,40,-0.2621423,0.0032494094
940,40,-0.25721726,0.03482432
960,40,-0.2873714,-0.0040445747
980,40,-0.2520431,-0.001013899
0,60,-0.2423561,0.2548616
20,60,-0.25469735,0.26880765
40,60,-0.26072463,0.21709606
60,60,-0.042413943,0.25460503
80,60,-0.20696753,0.23502202
100,60,-0.096765205,0.19732952
120,60,-0.25930077,0.008380967
140,60,-0.310146,0.09091826
160,60,-0.22899492,0.3068814
180,60,-0.18548699,0.23642702
200,60,-0.2637574,0.022981493
220,60,-0.022581995,0.21678807
240,60,-0.23911686,0.109940365
260,60,-0.20864032,0.027866295
280,60,-0.16478994,0.21210828
300,60,-0.2621495,0.18951324
320,60,-0.25790545,0.25024876
340,60,-0.2543818,0.2590337
360,60,-0.19680476,0.22582993
380,60,-0.22715224,0.17497225
400,60,-0.23735769,0.02509125
420,60,-0.24980384,0.12806517
440,60,-0.22237799,0.020695923
460,60,-0.23286141,0.20840666
480,60,-0.23039155,0.04008271
500,60,-0.28808442,-0.006149116
520,60,-0.24053675,0.0775356
540,60,-0.22172838,0.051567364
560,60,-0.22728178,-0.004411694
580,60,-0.25627896,0.0032144876
600,60,-0.18261023,0.22901224
620,60,-0.19438043,0.1693788
640,60,-0.13860531,0.065911606
660,60,-0.22094415,-0.04586794
680,60,-0.25567552,0.0007746906
700,60,-0.26146293,0.089447536
720,60,-0.2475762,-0.01793758
740,60,-0.258527,0.0009394508
760,60,-0.26222622,-0.0030768055
780,60,-0.23273987,0.06306994
800,60,-0.22923538,-0.09681365
820,60,-0.26261446,-0.022151053
840,60,-0.25189295,0.0017420058
860,60,-0.25584868,-0.06987213
880,60,-0.2473852,-0.0025909166
900,60,-0.164306,0.06873214
920,60,-0.27662542,-0.023294011
940,60,-0.25770006,0.0023459867
960,60,-0.26457685,0.006484717
980,60,-0.27263612,0.0075094774
0,80,-0.22299387,0.22323842
20,80,-0.18376334,0.13678516
40,80,-0.25604135,0.22579801
