x,y,fx,fy
0,0,-0.0068133534,0.22742346
20,0,0.029677613,0.2611365
40,0,-0.01234059,0.25048822
60,0,-0.000995719,0.21405813
80,0,-0.17932044,0.20907263
100,0,0.09395594,0.100561686
120,0,-0.0031587854,0.30304638
140,0,-0.029156506,-0.087261535
160,0,0.01765764,0.022738993
180,0,-0.04596293,0.01157292
200,0,-0.008699835,0.23048975
220,0,-0.1359714,0.17663683
240,0,0.02509882,0.08061202
260,0,-0.011272059,0.22725268
280,0,0.0016244252,0.2535782
300,0,0.10480306,0.21386132
320,0,0.113975964,0.13597414
340,0,0.006167932,0.0060086465
360,0,-0.2095257,0.1600186
380,0,0.005987683,0.017217591
400,0,0.0060944743,0.1605761
420,0,0.017423058,0.06096024
440,0,-0.023087634,0.07215757
460,0,-0.06291112,0.086052686
480,0,-0.10895016,0.24394354
500,0,-0.0585607,0.12774579
520,0,-0.019369967,0.22185735
540,0,0.007606415,0.03539525
560,0,3.543224e-06,0.032590054
580,0,-0.0101976665,0.010235569
600,0,-0.010941556,0.2435687
620,0,0.0036007862,0.25990823
640,0,0.016455425,0.25126505
660,0,0.006753708,0.1679634
680,0,0.002908475,0.008554438
700,0,0.013473202,0.19971494
720,0,-0.021089364,0.19071507
740,0,-0.007927301,0.01578337
760,0,-0.23405641,0.2281399
780,0,-0.23713358,0.24533363
800,0,-0.11935531,0.19969563
820,0,-0.15134712,0.031481974
840,0,0.026395543,0.030591369
860,0,0.001614817,0.039615996
880,0,-0.1046065,0.12968136
900,0,-0.14873034,0.1974245
920,0,-0.1389514,0.1917726
940,0,0.00497796,0.2636948
960,0,0.079523906,0.24032508
980,0,0.020124463,0.25174698
0,20,-0.022887403,0.27725482
20,20,0.19540574,0.23904173
40,20,0.0065056942,0.25746104
60,20,3.9639017e-06,0.26599532
80,20,-0.004262923,0.24974626
100,20,0.009233973,0.2588486
120,20,-0.109580636,0.13766196
140,20,0.03835449,0.0963101
160,20,0.019792533,0.19897524
180,20,-0.098516494,0.008142662
200,20,-0.037653793,0.19502169
220,20,0.009235156,0.16521052
240,20,0.0034944178,0.16721174
260,20,-0.07178419,0.24502778
280,20,-0.10994709,0.25029463
300,20,0.02642622,-0.015312103
320,20,-1.8078938e-05,-0.00043576752
340,20,-0.03728802,-0.045381945
360,20,-0.19686887,-0.012183801
380,20,0.051787674,0.22860624
400,20,0.003403104,0.1373246
420,20,-0.0009941199,0.24447694
440,20,-0.044739924,0.2575241
460,20,0.0055459696,0.2391984
480,20,0.041782975,0.23689035
500,20,0.0012202848,0.25195903
520,20,-0.002616572,0.19643442
540,20,-0.010511186,0.11881319
560,20,-0.031188002,0.2503784
580,20,0.0064988798,0.043604076
600,20,-0.0011943157,0.25048247
620,20,0.012743315,0.25390047
640,20,0.00056240906,0.26030815
660,20,6.8711406e-06,0.08178317
680,20,-0.020481892,0.062754765
700,20,-0.09203101,0.16102637
720,20,0.00045578292,0.00059119705
740,20,-0.0077752923,0.008843699
760,20,-0.0824467,0.10885405
780,20,-0.020200912,0.12291819
800,20,-0.0071764775,0.0023893085
820,20,0.013205839,0.08950493
840,20,0.0036235142,0.066560656
860,20,-0.10078713,0.15965918
880,20,-0.022772545,0.07378443
900,20,-0.002636804,0.2544883
920,20,-0.23394774,0.2653963
940,20,-0.05918459,0.19489828
960,20,-0.015413441,0.26901993
980,20,0.0114712175,0.25220364
0,40,-0.11435772,0.1650945
20,40,-0.15363301,0.12849393
40,40,0.19822058,0.25405857
60,40,-0.03419181,0.1995444
80,40,0.015422108,0.25769666
100,40,0.0071172467,0.25142217
120,40,-0.09573778,0.17009225
140,40,0.009930106,0.23993242
160,40,-0.07559066,0.27537873
180,40,-0.11578818,0.13605426
200,40,0.010624408,0.016654652
220,40,-0.039977543,0.052387208
240,40,-0.0033816558,0.07919746
260,40,-0.0917251,0.075796045
280,40,-0.23657106,0.20808464
300,40,-0.18392467,0.013980295
320,40,-8.784434e-06,-1.1446047e-06
340,40,0.0011063113,0.0013039485
360,40,0.04220414,0.16729294
380,40,-0.056200624,0.101445824
400,40,-0.017926855,0.17233323
420,40,-0.10654037,0.11806075
440,40,-0.08809096,0.046351053
460,40,-0.022371447,0.23036967
480,40,0.04428623,0.26662928
500,40,0.004567297,0.25324687
520,40,-0.010826603,0.20563374
540,40,-0.041970734,0.21303795
560,40,-0.12268152,0.17393571
580,40,0.0004560609,0.014401668
600,40,-0.011120433,0.0876365
620,40,-0.0051673916,0.18622766
640,40,0.0077191913,0.2590266
660,40,-0.0022121947,0.24593376
680,40,-0.048472103,0.18331245
700,40,-0.042288505,0.1709304
720,40,-0.121682644,0.016906772
740,40,-0.024287483,-0.0066121207
760,40,0.002290086,0.18244964
780,40,-0.09985368,0.14630911
800,40,0.0077755265,0.048522018
820,40,0.002248586,0.23525326
840,40,-0.025766436,0.25739157
860,40,-0.055835076,0.25770423
880,40,-0.0024154312,0.2725088
900,40,-0.026337573,0.22554833
920,40,-0.11230393,0.22714467
940,40,-0.031711645,0.03689196
960,40,-0.008147066,0.2548093
980,40,-0.0011700309,0.26185983
0,60,-0.56266093,0.40748107
20,60,-0.5867243,0.8573125
40,60,-0.28767744,0.5390386
60,60,-0.14924414,0.3184045
80,60,-0.0014984827,0.2640556
100,60,0.008082891,0.266474
120,60,-0.008041666,0.25997248
140,60,0.030549547,0.15669729
160,60,0.031330507,0.052511785
180,60,-0.06602626,0.15448046
200,60,-0.013120212,0.029774295
220,60,0.005870907,0.12720668
240,60,-0.15065916,0.020603485
260,60,-0.0355594,0.00086747203
280,60,-0.26851657,0.03798998
300,60,-0.1656787,-0.002067361
320,60,-8.572277e-05,0.00063149625
340,60,-0.00021037436,0.0017962045
360,60,-0.009621777,0.25703079
380,60,-0.052898932,0.17922285
400,60,-0.022304729,0.22860885
420,60,-0.0071572554,0.2040606
440,60,0.00046364748,0.010294941
