x,y,fx,fy
0,0,0.017766269,0.009588965
20,0,0.002047976,-0.00038523704
40,0,-0.008755802,0.002171695
60,0,-0.09505166,0.01310163
80,0,-0.043305945,0.025593098
100,0,0.0024099466,0.021115644
120,0,0.04120658,0.0064666267
140,0,0.06456132,0.01306497
160,0,0.021085322,0.014235754
180,0,-0.0068305493,-0.012370346
200,0,0.008905089,-0.028658612
220,0,-0.060232133,0.07741583
240,0,-0.033197924,-0.058330044
260,0,-0.008673603,-0.0013852759
280,0,0.027061919,-0.017913256
300,0,0.00017856079,-0.00012355823
320,0,0.13629508,0.18873948
340,0,-0.039373755,-0.014562957
360,0,0.009287031,-0.019707222
380,0,0.01288177,0.006904312
400,0,-0.059809435,-0.016243227
420,0,1.5597318e-06,8.27087e-06
440,0,-8.620025e-06,3.9389666e-05
460,0,-0.092895076,-0.017624866
480,0,-0.08413632,-0.0847224
500,0,-0.09086433,-0.09529611
520,0,-0.07490561,0.00928141
540,0,-0.2177792,-0.0369839
560,0,-0.09733798,-0.037379608
580,0,-0.08976541,-0.019306231
600,0,0.071609,0.07024899
620,0,0.031136407,0.003158879
640,0,-0.025298178,-0.029681897
660,0,-0.011914812,-0.18487301
680,0,0.04141145,0.009598668
700,0,-0.005883957,0.08071663
720,0,0.033449285,-0.08800271
740,0,-0.012428285,-0.04274097
760,0,-0.038290977,-0.08315542
780,0,-0.107622154,-0.068085164
800,0,-0.016149912,-0.019458637
820,0,-0.070796646,-0.18165576
840,0,0.0080635585,0.003869608
860,0,-0.013255541,-0.0420952
880,0,0.00058329495,-0.004600748
900,0,-0.0019718986,-0.0046060076
920,0,-0.013788286,0.030947534
940,0,0.024312451,0.06264222
960,0,-0.015317275,-0.031280395
980,0,0.022012357,-0.1977428
0,20,-0.053923007,0.0343406
20,20,-0.003033694,0.0010537263
40,20,0.03632697,-0.12894496
60,20,-0.0006752265,-0.0001859812
80,20,-0.07006078,0.03645645
100,20,-0.019027278,-0.011628805
120,20,-0.026254037,-0.033020984
140,20,0.03842524,0.02992335
160,20,-0.00044667695,-0.0012316841
180,20,-0.005273193,-0.00042624588
200,20,-0.017636487,0.011745927
220,20,-2.9210989e-05,0.000121045545
240,20,0.12296715,0.14387432
260,20,0.015836779,0.012034737
280,20,0.014203947,-0.080321155
300,20,-0.017299917,-0.0066464134
320,20,-3.5824887e-05,7.132848e-05
340,20,-0.16393998,-0.0029079649
360,20,-0.00013422157,-3.9894192e-05
380,20,3.4421744e-05,-6.15204e-05
400,20,4.9366504e-06,1.7894672e-05
420,20,-3.5455157e-06,4.1379704e-07
440,20,9.279217e-08,1.5266387e-07
460,20,0.0100455675,-0.014314197
480,20,-0.113900945,-0.12094823
500,20,-0.01637197,-0.16203862
520,20,-0.012820635,-0.041748893
540,20,-0.04632751,-0.015120932
560,20,-0.0019885811,-0.0043030325
580,20,-0.0486815,-0.10578574
600,20,-9.7686745e-05,0.00010633343
620,20,0.008928478,-0.009655784
640,20,-0.029370584,-0.006524799
660,20,-0.0005062779,-0.00043383628
680,20,-0.17257859,-0.035904568
700,20,0.0043695625,-0.024884455
720,20,-0.053361055,-0.05090726
740,20,-0.025076926,0.9180395
760,20,-0.030349823,-0.11671973
780,20,-0.033040784,-0.10147755
800,20,-0.08678141,-0.06084138
820,20,-0.030341344,-0.08253318
840,20,0.00069176964,-0.0042508026
860,20,0.11726695,-0.14759785
880,20,0.058533467,-0.086840145
900,20,0.010411333,-0.08425636
920,20,-0.034079023,-0.1263238
940,20,0.02358822,-0.04913932
960,20,0.0014106352,-0.12876698
980,20,0.027687144,-0.014256693
0,40,-0.008284783,-0.012517828
20,40,0.0006543971,0.00047858362
40,40,-0.030679291,-0.009059105
60,40,-0.06831252,-0.0140558155
80,40,-0.063389845,-0.011524116
100,40,-0.0784817,0.02675415
120,40,-0.00013335304,3.2194364e-06
140,40,0.020793954,-0.024688564
160,40,-0.04799547,-0.013551999
180,40,-0.15883912,0.0121823
200,40,0.056474883,-0.0036676493
220,40,-0.028612621,-0.04672015
240,40,-0.05405478,-0.008959698
260,40,-0.010235838,0.031516694
280,40,-0.0017281367,0.0008506285
300,40,-0.072456956,-0.0064919847
320,40,-0.041390724,-0.09008896
340,40,-0.037356954,0.046455797
360,40,0.019632434,-0.00022373168
380,40,0.0003194428,-0.022707902
400,40,-0.0048878393,-0.09201983
420,40,-0.03865706,-0.011546973
440,40,-0.024437102,-0.0786266
460,40,0.004848574,-0.00815807
480,40,-8.109131e-06,-4.110294e-06
500,40,-0.00387586,-0.0006736074
520,40,-0.000852703,0.00034240622
540,40,-0.02999325,-0.10463742
560,40,-0.0030342015,-0.006147791
580,40,-0.12899166,-0.09702197
600,40,-0.00030938548,-0.0015177045
620,40,0.031312026,0.018782202
640,40,0.02889209,0.018438935
660,40,0.006193971,0.0038056856
680,40,0.004179661,-0.011458401
700,40,0.00023971594,-0.047647364
720,40,-0.08334487,-0.027014459
740,40,-1.3386244,0.70631844
760,40,0.007838504,-0.21269672
780,40,-0.06676804,-0.04403673
800,40,0.00036989272,-0.0047513056
820,40,-7.720993e-05,-0.1597598
