x,y,fx,fy
0,0,7.898835e-06,0.00010614153
20,0,-4.232278e-05,-3.0232281e-06
40,0,-0.0074372045,-0.0017745602
60,0,0.00045018573,0.0022598112
80,0,7.9790505e-07,1.1479914e-05
100,0,-8.560433e-07,1.5204482e-07
120,0,-3.7977882e-06,-4.09361e-06
140,0,-3.4473935e-06,5.3005424e-06
160,0,-0.025006162,0.014191696
180,0,-0.06949311,-0.033677604
200,0,0.0029365562,0.025162093
220,0,0.00027405313,4.986003e-05
240,0,0.006749614,0.0026032852
260,0,0.017973632,0.0035598828
280,0,0.003579294,0.03329106
300,0,-0.000107144944,-5.927146e-06
320,0,0.04025046,0.15714668
340,0,-0.18221208,0.020856343
360,0,-0.00018269758,0.04133915
380,0,-0.015827496,-0.07556149
400,0,-0.0039281687,0.000570629
420,0,-0.059736535,0.007935228
440,0,0.0061312723,0.0130816195
460,0,0.00326965,0.0045216675
480,0,0.0052152714,0.0018805057
500,0,0.00043067496,0.0107872905
520,0,-0.09576949,-0.03512024
540,0,-0.18713558,-0.013657579
560,0,0.004546619,-0.00216438
580,0,-0.0037201843,0.00076228793
600,0,-0.00011091474,-1.10705605e-05
620,0,0.015413177,0.025437314
640,0,-0.010369156,0.009995763
660,0,0.012385541,0.16980544
680,0,-0.002047982,0.0005630948
700,0,0.0012911818,0.0050071096
720,0,-0.000495698,0.0014170973
740,0,-0.0010162704,0.00097507035
760,0,0.016726682,0.2208865
780,0,5.2103933e-05,4.4881508e-05
800,0,4.73285e-06,7.815724e-06
820,0,-0.00011537859,3.929494e-05
840,0,0.00016630511,3.2402475e-06
860,0,0.012091691,-0.002842134
880,0,-7.717752e-05,0.0014511021
900,0,3.1821648e-06,1.446433e-05
920,0,-7.0161167e-07,1.8312915e-07
940,0,-5.3886845e-07,5.538838e-07
960,0,0.0030464053,0.008952233
980,0,-8.707184e-05,0.024606034
0,20,0.002372009,0.0019596
20,20,9.0355776e-08,1.9544343e-07
40,20,3.0447214e-07,2.3203292e-07
60,20,2.7618964e-07,-2.5393268e-08
80,20,8.9726154e-07,-1.6179807e-07
100,20,7.651076e-08,-2.186694e-07
120,20,-1.1006634e-06,7.0869945e-08
140,20,-1.485204e-06,6.5656587e-09
160,20,-0.00059989846,-0.000104972925
180,20,-0.12442264,-0.010448083
200,20,-0.0005197118,1.3855442e-06
220,20,1.1150408e-07,-1.4578419e-06
240,20,-0.008169718,-0.04320596
260,20,0.0037832162,-0.00427274
280,20,-1.4695988e-06,-2.5656587e-07
300,20,-8.038855e-07,1.00159475e-07
320,20,2.7571425e-05,-5.841279e-05
340,20,-0.00037863612,0.00013030366
360,20,0.00021003511,-0.00023738858
380,20,0.013999035,0.03905742
400,20,-0.00028057478,-0.00023852025
420,20,-0.17640935,0.0071146074
440,20,-0.00025115378,-0.00013930621
460,20,1.8744865e-06,-1.8055323e-06
480,20,-9.96327e-06,1.9842322e-05
500,20,-0.09420103,0.05046869
520,20,0.025626047,0.057525706
540,20,-0.003242278,0.0008286981
560,20,1.2575466e-05,9.676858e-06
580,20,-1.1994663e-05,5.280622e-06
600,20,6.430561e-06,-1.1950082e-06
620,20,0.01555158,0.05428234
640,20,-0.0022631448,0.049133886
660,20,-4.0465725e-06,0.00017091536
680,20,-8.003997e-07,-4.3877958e-07
700,20,-1.041037e-05,3.0366332e-06
720,20,0.005399183,0.017607316
740,20,0.03018056,0.0036606088
760,20,0.00023658382,2.9650253e-05
780,20,1.7038549e-06,6.0325027e-07
800,20,-5.9020845e-06,-3.6283157e-07
820,20,2.4517062e-06,7.541592e-08
840,20,-3.671081e-06,2.4818965e-07
860,20,-0.007962002,-0.007859552
880,20,0.0024138656,0.0004715454
900,20,-3.1440277e-06,3.6207493e-06
920,20,-3.3467504e-06,-1.3336002e-06
940,20,3.1302557e-06,-1.8925782e-07
960,20,3.4170994e-06,3.1954908e-08
980,20,-1.6304782e-06,3.4458859e-07
0,40,0.0003406956,0.000967821
20,40,-1.9101878e-07,-1.849612e-07
40,40,6.699024e-07,-5.554023e-07
60,40,-5.830855e-07,3.6105308e-07
80,40,2.5877875e-07,4.897049e-07
100,40,1.0507389e-06,-6.732731e-08
120,40,-3.6063133e-07,-9.5323605e-07
140,40,-9.226794e-07,-3.3654982e-07
160,40,1.2931533e-06,2.4432052e-06
180,40,-9.653716e-06,2.090869e-06
200,40,-2.5015024e-06,-5.1943834e-07
220,40,-3.1112781e-06,-1.5120153e-06
240,40,0.0009112494,-0.10327891
260,40,0.0038390842,-0.006533099
280,40,-1.3000031e-06,-6.934885e-07
300,40,-1.2101823e-06,-2.57658e-07
320,40,5.042534e-06,7.687251e-09
340,40,3.348245e-06,1.9045781e-07
360,40,1.13814174e-07,-1.3864424e-06
380,40,2.5849435e-05,-9.387472e-06
400,40,-1.4704945e-06,-6.039781e-06
420,40,-2.6377304e-05,4.3435863e-05
440,40,-1.1962789e-05,-4.171579e-07
460,40,0.0068397718,-0.032293268
480,40,-0.043024745,-0.09585643
500,40,-0.3389319,0.17131747
520,40,0.028698444,-0.008154577
540,40,-0.0013422037,-0.015635705
560,40,-1.7325348e-05,-5.0492313e-06
580,40,-1.6088887e-05,-1.6968339e-05
600,40,-2.9279021e-05,-4.4663648e-05
620,40,9.8444274e-05,-0.00012201026
640,40,1.9033543e-05,4.2706183e-06
660,40,3.3809497e-06,1.0936803e-07
680,40,-2.7360267e-07,-9.623125e-07
700,40,7.0191427e-06,1.6793209e-07
720,40,1.2144922e-05,-6.4014284e-07
740,40,1.2817447e-05,-3.0653437e-06
760,40,-3.948012e-05,5.894087e-06
780,40,-1.0074187e-05,1.7022522e-06
800,40,-9.260796e-06,-1.1505902e-05
820,40,-3.2788014e-06,3.139746e-06
840,40,6.723071e-07,-4.013313e-07
860,40,4.5712563e-06,-2.9416376e-06
880,40,-0.0016334703,-0.00036384707
900,40,-0.06677949,-0.08927322
920,40,-4.436505e-05,-3.238084e-05
940,40,2.7025796e-06,7.684098e-07
960,40,3.4493496e-06,1.4446822e-07
980,40,-8.7209725e-07,2.765141e-07
0,60,0.0014850073,0.009541155
20,60,-1.5501622e-07,-2.3231644e-07
40,60,-8.940634e-08,-3.0441015e-07
60,60,-8.3683193e-07,-2.0677214e-07
80,60,9.093975e-07,5.191273e-07
100,60,1.3875751e-06,-8.784498e-08
120,60,9.905424e-09,-5.8725135e-07
140,60,-4.90992e-07,-5.970292e-07
160,60,1.2615241e-06,-7.671288e-07
180,60,-7.6032353e-07,-3.008203e-07
200,60,-1.8843955e-06,-5.1088097e-07
220,60,-2.788926e-06,1.4884813e-08
240,60,-2.2227928e-07,-2.409531e-06
260,60,-2.422072e-06,1.4149295e-07
280,60,-6.9461595e-07,-4.6284495e-07
300,60,2.0990983e-06,-1.6757156e-07
320,60,7.576168e-06,1.04804634e-07
340,60,4.427146e-06,-4.180687e-07
360,60,-0.00023183589,0.00041436905
380,60,-0.018381994,0.0013528607
400,60,2.152798e-05,-3.2028438e-05
420,60,-0.20019998,0.017252486
440,60,-5.2277494e-05,0.00046306648
460,60,0.00711681,-0.01647781
480,60,-0.025204042,-0.04818698
500,60,-0.1352399,-0.016418949
520,60,-7.77168e-05,-0.00016408466
540,60,-0.10646975,-0.009837765
560,60,-0.063644,0.016176932
