x,y,fx,fy
0,0,4.7629505e-06,-8.189568e-06
20,0,0.0038670225,0.014217527
40,0,-0.13973051,-0.0042945347
60,0,-0.0016181256,0.0019127387
80,0,0.0071686907,-0.044610266
100,0,0.033024147,-0.021045893
120,0,-0.01565016,-0.06255566
140,0,0.04289918,0.10259261
160,0,-0.014900292,0.02384416
180,0,0.012433091,-0.0008714381
200,0,-0.046117514,-0.0084793335
220,0,-0.08529415,0.020893404
240,0,0.04565992,-0.006780631
260,0,-0.122358255,-0.14150959
280,0,-0.00090017694,0.011263935
300,0,-0.00011814479,5.7943853e-06
320,0,0.022315083,-0.0005371143
340,0,0.020657584,-0.036094464
360,0,-0.19788712,0.02833237
380,0,0.0013780004,0.008329909
400,0,-0.0001709833,0.0005402106
420,0,-0.00017281345,0.00026829782
440,0,-0.001137626,1.4288861e-05
460,0,-0.029773049,-0.027155505
480,0,-0.0049353424,-0.0018898364
500,0,-0.0016003852,0.01553802
520,0,-0.053231187,-0.0046188612
540,0,0.0013960076,0.0020776861
560,0,-0.0002826568,-5.7847887e-05
580,0,-0.0091243815,-0.005662557
600,0,0.0071944664,0.019511573
620,0,-0.013916716,0.040690627
640,0,-0.027870608,0.0122354515
660,0,0.0049447627,0.003419532
680,0,0.0013388669,0.0022893534
700,0,-0.00679973,0.004757021
720,0,-0.0026179985,0.0009858516
740,0,0.003684293,0.008867528
760,0,0.020880403,-0.014609741
780,0,-2.2494335e-07,9.028419e-05
800,0,-0.07151697,0.016877778
820,0,-0.011378535,0.01275204
840,0,-8.6981345e-06,3.1047032e-06
860,0,2.6246876e-06,-5.3376793e-06
880,0,5.198211e-06,5.7384237e-05
900,0,-4.69613e-06,4.6795813e-05
920,0,-0.0015519386,0.005123322
940,0,0.033399183,-0.015905367
960,0,0.04979142,0.075702
980,0,0.018249897,0.012051271
0,20,0.0003415038,0.004636087
20,20,-0.00014050154,-0.00010844072
40,20,0.06540715,-0.049193934
60,20,-0.0002049745,-0.0012074409
80,20,0.0018364848,-0.00016488614
100,20,0.06585961,0.039292466
120,20,0.16647914,0.010974461
140,20,0.04076795,0.011967791
160,20,-0.06217442,-0.13659415
180,20,0.007061221,-0.014257981
200,20,0.007367466,-0.006298755
220,20,-0.002373376,0.0044909064
240,20,0.08931915,-0.1438282
260,20,0.18024133,-0.00068688043
280,20,0.00036851745,0.00031890062
300,20,0.005478753,-0.009968729
320,20,0.009339674,-0.01581141
340,20,-0.019550499,0.014838487
360,20,-0.01640256,-0.0022015276
380,20,-0.047696907,0.013301894
400,20,0.030635143,-0.012790243
420,20,0.002048278,0.0023902133
440,20,-0.0159881,-0.037164465
460,20,0.0008264815,-0.008169931
480,20,-0.030583756,-0.022441862
500,20,-0.0002455914,-0.00086520996
520,20,-9.592215e-06,-1.009128e-06
540,20,-1.9205015e-06,-1.3017252e-06
560,20,-6.563615e-06,8.0331375e-08
580,20,0.00035010074,-0.0005470363
600,20,0.0011918112,-0.016671358
620,20,0.024304656,0.013978879
640,20,-0.03734436,-0.022669211
660,20,0.008450687,0.00488366
680,20,-0.036310717,-0.00044905016
700,20,-7.284173e-05,0.0008637938
720,20,-0.0021612984,-0.0030384227
740,20,0.0001999101,-0.0010745893
760,20,0.0004966489,0.013327816
780,20,-0.0071920305,0.002290959
800,20,-0.04641085,-0.00930537
820,20,-0.0060368446,0.00051143754
840,20,-3.6073773e-06,-1.3817678e-06
860,20,-4.1513917e-06,-1.7396197e-06
880,20,-1.5412659e-06,-2.6017233e-06
900,20,4.7242476e-05,0.0002400637
920,20,0.024175573,-0.031036602
940,20,9.104519e-05,-6.019385e-05
960,20,-6.8057176e-05,0.00044852344
980,20,0.017507024,-0.016353874
0,40,0.0072333906,-0.005050871
20,40,-0.00071867293,-0.0004349608
40,40,-0.023013195,-0.033335235
60,40,0.07104552,0.007090877
80,40,0.012660543,-0.08082248
100,40,-0.010942647,-7.267182e-05
120,40,0.011818417,0.032314826
140,40,-0.052378662,0.10544907
160,40,0.007855154,-0.004826142
180,40,-0.00015104111,0.00013116785
200,40,-0.021320373,7.2013485e-05
220,40,-0.010835473,0.015945313
240,40,-0.0017361281,-0.0020988442
260,40,0.0029597003,0.021700075
280,40,-0.00011492756,-3.999463e-06
300,40,0.009780904,-0.045409594
320,40,-0.0020580098,-0.029405234
340,40,-0.004294058,-0.0106927985
360,40,0.002765353,0.14541325
380,40,-0.02205185,-0.085653305
400,40,-0.0053834673,0.012422269
420,40,0.011826733,-0.014397412
440,40,0.0002966492,-0.0002530827
460,40,0.04131913,-0.06264876
480,40,-0.1380549,-0.035007637
500,40,-0.0071820226,-0.03511472
520,40,-7.713123e-05,-5.0713177e-05
540,40,-7.1557944e-05,-3.6245663e-06
560,40,1.2175265e-05,-1.7593853e-05
580,40,-0.007860653,0.0021902097
600,40,3.0042767e-05,0.001739515
620,40,0.0042564357,-0.010109072
640,40,-0.0064824666,0.052145615
660,40,-0.0137058655,-0.059568085
680,40,-0.0034008913,-0.039222468
700,40,-0.009322935,-0.0020741017
720,40,0.07757605,0.0093537215
740,40,-0.029210161,-0.004637972
760,40,0.004990687,-0.008513532
780,40,0.037241757,-0.0022528826
800,40,-0.05041722,0.0664388
820,40,0.022786438,0.090505496
840,40,0.00025584653,0.0007702238
860,40,0.007120491,-0.031781234
880,40,0.012049862,0.008994487
900,40,-0.00454376,-0.009860852
920,40,0.010665461,-0.03784252
940,40,-0.017284926,0.046023134
960,40,1.7804954e-06,-1.09776366e-07
980,40,0.016773812,0.010927634
0,60,-2.4571514e-07,9.33275e-06
20,60,-7.593679e-05,6.876097e-05
40,60,-0.021084217,-0.005125041
60,60,0.013878445,-0.016868088
80,60,0.012178553,0.059727088
100,60,-0.0095543945,0.011562749
120,60,0.02879001,0.015897488
140,60,0.0675916,-0.010382767
160,60,-0.000106519496,-5.595979e-05
180,60,-0.18795277,0.0026198986
200,60,0.00015776476,0.00024290572
220,60,-0.006333594,-0.02227304
240,60,0.0130771985,0.045528065
260,60,0.03188852,-0.0024548743
280,60,-0.005989819,0.0918582
300,60,0.033130467,0.015855087
320,60,0.027601609,-0.029144887
340,60,0.0841267,-0.02508905
360,60,-0.14577216,-0.0043842755
380,60,-0.15452762,-0.10546285
400,60,0.014898701,-0.026517091
420,60,-6.708908e-05,-0.01341742
440,60,-0.034345005,-0.00060977385
460,60,-0.058783893,-0.07812425
480,60,-0.069470555,-0.029558683
500,60,-0.008969493,-0.03827676
520,60,-0.022362873,0.007060635
540,60,-0.0043452424,0.042499583
560,60,0.059082992,-0.064227626
580,60,-0.04309545,0.052680273
600,60,-0.012503395,-0.0042331293
620,60,0.035892207,0.014941463
640,60,0.0070701265,-0.013934812
660,60,-0.0051371646,-0.03977282
680,60,-0.030094942,-0.01652503
700,60,-0.0059392066,0.021661792
720,60,-0.005447077,-0.021169603
740,60,0.02716517,0.0026015686
760,60,-4.4106464e-06,2.4666617e-06
780,60,-0.00035431134,0.0025338486
800,60,-0.020493923,0.048950743
820,60,-0.0058907657,-0.0011737457
840,60,-0.19658533,0.0066809044
860,60,0.026907813,0.06698643
880,60,-0.12667447,0.034088504
900,60,-0.013262581,-0.023004716
920,60,0.003087377,0.0015361749
940,60,0.0008230316,-0.016809631
960,60,0.0019088687,0.0013838182
980,60,8.99008e-06,-5.9631896e-07
0,80,1.9884044e-06,8.154715e-07
20,80,1.05441046e-07,1.1611787e-06
40,80,-0.0017542306,0.0011124485
60,80,-0.04125357,0.09182873
80,80,0.0019322538,0.0012128857
100,80,6.165412e-05,-9.419325e-05
120,80,0.04079553,-0.0120726945
140,80,0.07721555,0.017947886
160,80,-0.058480497,-0.08872798
180,80,-0.009613146,-0.011386116
200,80,-0.012925143,-0.031185402
220,80,0.09665735,-0.015107056
240,80,8.097796e-05,-5.658213e-05
260,80,0.0005567086,0.0015845526
280,80,0.045725826,-0.023942133
300,80,0.0032720645,-0.0037695307
320,80,0.15299116,-0.05854663
340,80,-0.07090211,-0.16097867
360,80,0.05028673,0.0051203803
380,80,0.039115753,-0.06376817
400,80,-0.0113114845,-0.009236523
420,80,-0.004603832,0.030320678
440,80,0.0009033358,0.001185207
460,80,-0.0021192683,-0.003623618
480,80,-0.012236024,-0.0016258436
500,80,0.0004775816,-0.0041749147
520,80,-0.0035450405,0.018863535
540,80,0.0018964326,0.007567861
560,80,-0.055086926,0.036296956
580,80,-0.00040683837,0.0067850896
600,80,0.000931192,-0.0040793507
620,80,0.024803441,0.014366717
640,80,-0.019329378,0.0031481995
660,80,0.030226164,-0.0011425501
680,80,0.0004562512,0.00052161695
700,80,7.226515e-05,-3.4049237e-05
720,80,-0.0069999606,0.00054952403
740,80,-0.0022207408,0.00019145683
760,80,1.4839479e-05,-7.74828e-06
780,80,-0.10355944,-0.002008128
800,80,-0.1170311,-0.015479851
820,80,-5.4779015e-05,1.9046842e-05
840,80,-0.0033305252,0.003725711
860,80,0.017041693,-0.005519954
880,80,-0.0024916623,0.015427641
900,80,0.002049688,0.0043159206
920,80,0.0010972405,-0.13994692
940,80,-0.026992137,-0.08556056
960,80,5.14622e-07,0.0074308007
980,80,0.00020937574,0.00023983486
0,100,0.01837466,-0.001720161
20,100,-0.07884232,-0.033622984
40,100,-0.0005009278,-0.0001109475
60,100,0.016692998,0.011244129
80,100,0.0005453269,0.000396183
100,100,-0.0013714259,-0.0038535267
120,100,-0.056255113,-0.1589808
140,100,0.01195628,0.027412113
160,100,0.024252329,0.0012771586
180,100,0.03043515,0.009378697
200,100,0.015030599,-0.18250051
220,100,-0.033324283,-0.13463971
240,100,-0.051826924,0.07768294
260,100,5.5315486e-05,0.00096278515
280,100,0.00024923065,1.6311642e-06
300,100,-5.949654e-08,-9.250354e-06
320,100,0.004450363,0.0012221748
340,100,0.0006452374,0.0015026728
360,100,-0.102306135,0.062428292
380,100,-0.106057316,-0.028528923
400,100,0.02927037,-0.021840228
420,100,6.562631e-05,-0.001026059
440,100,1.6494946e-06,-2.1879002e-06
460,100,4.9826626e-06,1.3402624e-05
480,100,0.029068593,-0.008389195
500,100,0.019659644,-0.0044161733
520,100,-0.008813624,0.006187074
540,100,0.011833279,-0.002090041
560,100,0.0011747411,-0.008396299
580,100,0.009558273,0.008751679
600,100,0.015243389,-0.06755794
620,100,0.013063174,-0.00429913
640,100,0.09036823,0.011713076
660,100,-0.019648038,0.044529926
680,100,0.023606686,0.032843143
700,100,-0.024164356,0.016238391
720,100,-0.03332273,-0.013800339
740,100,-0.03620861,0.0045345905
760,100,-0.0055242297,0.030192606
780,100,-1.6640692e-05,8.178486e-06
800,100,-0.0001488623,-0.00050228107
820,100,-8.06145e-06,1.2707377e-06
840,100,-0.014910331,0.027157212
860,100,0.020495784,-0.00033414643
880,100,-0.07321395,0.023886522
900,100,5.332084e-05,8.637538e-05
920,100,-0.0001584338,-6.0971906e-05
940,100,-0.002233854,1.9285542e-06
960,100,0.0098088365,-0.0045899493
980,100,0.03224156,-0.019016597
0,120,-0.045887325,0.04368383
20,120,0.052523207,0.039245985
40,120,-0.10325195,-0.02097017
60,120,0.00056596973,6.352867e-05
80,120,-0.031595573,0.0076855575
100,120,0.007181791,0.03229837
120,120,-0.00040472517,-0.00037486848
140,120,-0.006600329,-0.008961863
160,120,-0.0034677386,0.1315864
180,120,0.0048529333,0.023000127
200,120,-0.04816392,-0.015596011
220,120,1.4017582e-05,3.1462314e-05
240,120,-1.1823794e-06,-1.7537359e-06
260,120,0.0015743205,-0.0016540048
280,120,-0.037729356,-0.017024387
300,120,-0.000109693334,-8.760556e-05
320,120,-9.1628e-06,3.4627453e-06
340,120,-0.00036864754,0.00017445015
360,120,0.0047145803,0.0004956722
380,120,-0.010746342,-0.012421246
400,120,0.05507709,0.023134552
420,120,0.0025694857,0.0026480944
440,120,-0.010438661,-0.010319394
460,120,-0.07581002,0.013279929
480,120,-0.05079826,-0.01883598
500,120,-0.019759879,0.0038716302
520,120,-0.0438676,-0.009866208
540,120,0.00032218551,0.011187717
560,120,-0.00023292679,-0.0063447924
580,120,0.0016740805,-0.007246074
600,120,0.018168101,-0.094319016
620,120,-0.015412743,-0.03820654
640,120,-0.014862707,-0.02366222
660,120,-0.029619541,0.019187797
680,120,0.018701008,-0.00093988725
700,120,-0.0011132048,0.003057325
720,120,0.011415746,0.02960549
740,120,-0.015653899,0.052772854
760,120,0.022347372,0.024345154
780,120,-6.139794e-05,0.000112933485
800,120,-0.0011109877,0.0150253
820,120,-4.0386644e-06,-8.1732975e-07
840,120,-4.5952893e-05,-5.6607238e-05
860,120,0.0009387428,0.006711031
880,120,0.0018548202,0.0030783394
900,120,-0.09462292,-0.038408056
920,120,-0.009323953,0.005771961
940,120,0.008901076,0.07949638
960,120,-0.008047393,0.014602264
980,120,-0.0241177,0.09050164
0,140,0.0011436237,0.003872363
20,140,1.5432246e-05,4.3434928e-05
40,140,-0.00011571002,0.00021241917
60,140,-3.3805725e-07,5.9121094e-06
80,140,0.056507025,0.030642258
100,140,-0.0087164,-0.004495838
120,140,0.0001096333,0.0003938885
140,140,-0.02786181,0.024923293
160,140,0.015353264,0.031671904
180,140,0.019369159,0.051785227
200,140,1.9117124e-05,4.6033034e-05
220,140,2.9815785e-06,1.5983004e-06
240,140,0.046952143,0.045875657
260,140,-0.0028949943,-0.00079638755
280,140,0.0036766585,0.049909513
300,140,-0.041815717,-0.028891133
320,140,0.0008020206,-0.036885373
340,140,0.0074338834,0.0033244228
360,140,9.723879e-07,1.0852694e-06
380,140,0.0030363295,-0.009739004
400,140,0.01709866,-0.010131585
420,140,0.006221627,0.0058769803
440,140,0.0043732626,-0.051487822
460,140,-0.029229218,-0.008273717
480,140,0.01745692,0.0034685528
500,140,-0.00012529684,0.00015980382
520,140,0.019678889,0.0038885488
540,140,0.066515185,0.027575817
560,140,1.1344549e-05,3.985071e-06
580,140,-0.026781559,0.07573221
600,140,0.0006947285,0.0003260934
620,140,9.603428e-05,-0.00047595336
640,140,0.01611225,0.0047424515
660,140,-0.041892014,0.07202446
680,140,-0.023288349,0.09855705
700,140,0.07454794,-0.040093664
720,140,0.0341487,0.0035278471
740,140,-0.0077706343,-0.0059447857
760,140,0.014039464,-0.015630798
780,140,0.003255958,8.614967e-06
800,140,-0.00014489164,0.00026788135
820,140,-2.0504162e-05,-5.7935395e-05
840,140,-0.015012312,0.011004182
860,140,-0.004209315,0.03785169
880,140,-0.0062204595,0.026635898
900,140,0.006725243,0.003264287
920,140,-0.00015674283,0.0009361498
940,140,-0.0132500585,0.011905839
960,140,-0.008570612,0.0060382183
980,140,0.0095799845,0.01972324
0,160,0.0069700116,-0.0043641906
20,160,-0.00037378172,0.0076893135
40,160,-0.06210679,0.021632783
60,160,-0.008661426,-0.030794386
80,160,-0.08043646,-0.02930841
100,160,0.0003739935,0.008101494
120,160,-0.039316114,0.07267227
140,160,0.020161,0.14518781
160,160,-0.0065306933,-0.094185755
180,160,0.016298933,0.04345584
200,160,0.0027591593,0.0017547974
220,160,0.012593269,-0.0021139327
240,160,0.0056087277,0.0038243863
260,160,0.0009720558,0.00021081351
280,160,-0.020837989,-0.0007193848
300,160,-0.0018120223,-0.002060915
320,160,-0.099776536,0.024987295
340,160,-0.026226077,0.0026862451
360,160,0.00042063594,0.00026723638
380,160,0.007084931,-0.012616152
400,160,-0.00036750655,-0.027067117
420,160,0.017102435,-0.19154453
440,160,0.0012556274,0.01742185
460,160,0.00013432327,-0.0004140914
480,160,0.03216625,-0.015383647
500,160,-0.023446973,0.043801878
520,160,-0.010900993,-0.006799473
540,160,0.006015786,-0.0016605391
560,160,-0.0024628893,-0.024276942
580,160,-0.00032517983,-0.00015198137
600,160,0.028475437,0.018114949
620,160,0.014053437,-0.0047577443
640,160,0.010741075,-0.05049661
660,160,9.204471e-05,0.00018914793
680,160,0.0022622435,0.00063450634
700,160,-0.008158161,0.0033480346
720,160,0.06415851,-0.1477324
740,160,0.0033752795,-0.028482946
760,160,0.023908986,-0.03604449
780,160,-0.043366477,0.031039637
800,160,0.001008687,0.0009696552
820,160,-3.1580264e-06,0.00581396
840,160,-0.042394605,0.07553751
860,160,-0.03670737,0.009205857
880,160,0.0465896,0.016122563
900,160,0.000272807,-0.0006492517
920,160,-1.6358457e-05,-2.5408672e-06
940,160,0.0011489474,0.00081835716
960,160,-0.0047907103,0.002626006
