x,y,fx,fy
0,0,0.039723508,-0.035815157
20,0,-2.793595e-05,9.431364e-06
40,0,-0.026787518,0.014102789
60,0,-0.0250013,-0.025494022
80,0,-0.014565747,-0.009243351
100,0,-0.2084931,0.031554878
120,0,-0.21136977,0.0030718222
140,0,-0.22347064,0.011651353
160,0,-0.06807343,-0.008415596
180,0,-0.0006647908,0.00047644234
200,0,-0.015723616,0.06503173
220,0,-0.22963643,-0.028868133
240,0,-0.25150114,0.0061927023
260,0,-0.0634252,0.023545923
280,0,-0.25945204,0.013418318
300,0,-0.2997853,-0.006299211
320,0,-0.039816923,0.102812774
340,0,-0.2426898,0.26647004
360,0,-0.43215626,0.0033267234
380,0,-0.26933318,0.15345494
400,0,-0.23329127,0.234983
420,0,-0.14087124,0.12909795
440,0,-0.3034878,0.45397973
460,0,-0.2457813,0.26120085
480,0,-0.2453998,0.2586072
500,0,-0.20131297,0.342189
520,0,-1.4160665,0.6414118
540,0,-0.2336075,0.1020873
560,0,-0.25046512,0.21117741
580,0,-0.27173188,0.23741962
600,0,-0.051363964,0.22746022
620,0,-0.24857849,0.06699607
640,0,-0.24096042,0.013737684
660,0,-0.29855046,-0.0127886655
680,0,-0.25051865,0.024478074
700,0,-0.2625773,0.0076543894
720,0,-0.011609686,0.001989187
740,0,-0.24430338,-0.020161279
760,0,-0.2748326,-0.027894622
780,0,-0.2534978,-0.043617595
800,0,-0.22595407,-0.023745341
820,0,-0.029666854,-0.006535196
840,0,-0.077825025,-0.034614712
860,0,-0.30240548,-0.0077258865
880,0,-0.17065963,-0.1720503
900,0,-0.23247187,0.044748615
920,0,-0.25993824,0.038871042
940,0,-0.2535085,-0.21876702
960,0,-0.25883284,-0.15125413
980,0,-0.25944325,0.01853962
0,20,0.002622985,0.012831374
20,20,-0.097026326,-0.022331188
40,20,-0.1628461,0.008602297
60,20,-0.12543732,0.03285565
80,20,-0.10525451,0.10221915
100,20,-0.25120556,0.0076270974
120,20,-0.25799057,0.00075693004
140,20,-0.25254956,0.02763287
160,20,-0.108703166,0.022096502
180,20,-0.00043685545,0.0010066986
200,20,-0.028429877,0.17704651
220,20,-0.12330072,0.022749985
240,20,-0.16730145,-0.03497495
260,20,-0.25375643,-0.0012783498
280,20,-0.17765255,0.05315515
300,20,-0.14146256,-0.013486054
320,20,-0.00074668304,0.00038825395
340,20,-0.17266026,0.14108248
360,20,-0.24977443,0.0005815578
380,20,-0.23345809,0.12509784
400,20,-0.26051304,0.27213115
420,20,0.016376764,0.29481775
440,20,-0.36865866,1.4072664
460,20,-0.2311104,0.17809156
480,20,-0.26528284,0.25658396
500,20,-0.15675876,0.2840363
520,20,-0.29784206,0.27063277
540,20,-0.25286123,0.10005507
560,20,-0.23810706,0.2694435
580,20,-0.2448864,0.26963758
600,20,-0.263143,0.3927396
620,20,-0.2504298,0.29183504
640,20,-0.26750538,0.09157667
660,20,-0.3869122,-0.013925593
680,20,-0.2284997,0.14293393
700,20,-0.16288082,0.021048756
720,20,-0.3169395,0.023735816
740,20,-0.2550455,-0.006096995
760,20,-0.28855854,-0.22843975
780,20,-0.2091608,-0.0791842
800,20,-0.24085753,-0.03393634
820,20,-0.12639967,-0.10200518
840,20,-0.2682326,-0.042863328
860,20,-0.25544006,-0.032986715
880,20,-0.17661765,0.014076216
900,20,-0.20650393,-0.08423934
920,20,-0.24089962,-0.087600395
940,20,-0.27838877,-0.20247431
960,20,-0.22827862,-0.21989457
980,20,-0.22164112,-0.1755933
0,40,0.0016487726,0.0025173603
20,40,-0.17585602,0.009470451
40,40,-0.012705456,-0.002890271
60,40,-0.047551814,0.122886404
80,40,-0.21444415,0.19206995
100,40,-0.23778582,0.022335762
120,40,-0.2512448,-0.004333935
140,40,-0.25069982,0.03167844
160,40,-0.10940992,0.021239376
180,40,-1.16438e-06,-4.8736397e-06
200,40,-0.00020766276,-0.0016586387
220,40,-0.039779913,0.022048144
240,40,-0.235655,-0.011119045
260,40,-0.2622852,0.0011208304
280,40,-0.2649695,0.005546635
300,40,-0.23296279,-0.0069699255
320,40,-0.04788592,0.0043318104
340,40,-0.0013665857,-0.0018043532
360,40,-0.20481144,0.014719487
380,40,-0.22983512,0.13207406
400,40,-0.31208172,0.09505944
420,40,-0.2377371,0.33391336
440,40,0.30638832,0.41393307
460,40,-0.052101865,0.12519653
480,40,-0.1898475,0.2955971
500,40,0.200113,0.31704572
520,40,0.4738535,0.7664232
540,40,-0.08448812,0.27422145
560,40,0.062386997,0.342657
580,40,-0.2716404,0.1423583
600,40,-0.3068577,0.4313214
620,40,-0.20738523,0.5364007
640,40,-0.10271167,0.36835188
660,40,-0.19023511,0.5676283
680,40,-0.18389046,1.0803205
700,40,-0.42078686,0.9582722
720,40,-0.23746976,0.16921219
740,40,-0.21733636,-0.014611527
760,40,-0.24274291,-0.006644151
780,40,-0.24362317,0.030759811
800,40,-0.1408063,0.09874063
820,40,-0.18077756,-0.055800807
840,40,-0.21483925,-0.1470573
860,40,-0.23747915,-0.15920947
880,40,-0.025236087,0.0049786754
900,40,0.0046010274,-0.23482998
920,40,-0.16153514,-0.019187631
940,40,-0.16812634,-0.0010211057
960,40,-0.09234075,-0.12565646
980,40,-0.0014013813,-0.006068201
0,60,0.00017461146,-1.5320286e-06
20,60,-0.0009237762,-0.00013701335
40,60,-0.023447953,0.037907537
60,60,-0.27855137,0.11313955
80,60,-0.25783032,0.13508214
100,60,-0.2605371,0.012721961
120,60,-0.25440246,0.04312633
140,60,-0.26651052,0.0011459426
160,60,-0.07417234,0.008843077
180,60,-0.0031584112,0.00097639725
200,60,-0.40396866,-0.021404332
220,60,-0.22051603,0.002247633
240,60,-0.26262838,-0.0071196067
260,60,-0.25031042,-0.001534113
280,60,-0.2664689,-0.004743816
300,60,-0.25263086,0.0075421403
320,60,-0.09039394,0.007328223
340,60,-0.0019867546,-0.000148887
360,60,-0.20552993,-0.03284107
380,60,0.014617208,0.015842263
400,60,0.78817314,1.3637629
420,60,0.012093008,0.22622222
440,60,-0.2546473,0.19302161
460,60,-0.20550218,0.4649305
480,60,-0.2705333,0.044400267
500,60,-0.123455845,0.27796036
520,60,-0.3150299,1.0539447
540,60,-0.1107025,0.444004
560,60,-0.09048671,0.16459572
580,60,-0.19170836,0.057240177
600,60,-0.19346397,0.26911864
620,60,-0.04252239,0.35865244
640,60,-0.22813396,0.71770006
660,60,-0.27176955,0.47734782
680,60,-0.37175465,0.527713
700,60,-0.2355449,0.10799542
720,60,-0.06956342,0.19163936
740,60,-0.052931912,-0.0015807088
760,60,-0.031670813,0.001274374
780,60,-0.011462641,0.13897307
800,60,-0.089775994,-0.08710235
820,60,0.05491409,0.29298002
840,60,-0.34746346,-0.17243627
860,60,-0.086047955,-0.05793842
880,60,-0.011402203,0.010909755
900,60,-0.032364275,-0.052149896
920,60,-0.061465938,-0.0007235195
940,60,-0.1613787,0.059206862
960,60,-0.0015504733,0.07942521
980,60,-6.638392e-06,2.5085228e-06
0,80,0.0043290206,-0.0134621635
20,80,-0.25100252,-0.013177997
40,80,-0.0009273069,5.6962017e-05
60,80,-0.004163811,0.007524302
80,80,-0.1660067,-0.0030215657
100,80,-0.25729102,0.0027841795
120,80,-0.31272963,0.22342277
140,80,-0.24139583,0.18873249
160,80,-0.1153562,-0.0020746945
180,80,-0.22521612,0.21890898
200,80,-0.2569261,0.006048673
220,80,-0.25194386,-0.0038832051
240,80,-0.25826088,0.00092419115
260,80,-0.24911954,0.002674115
280,80,-0.2567774,0.027567632
300,80,-0.29162988,0.16000082
320,80,-0.044859543,-0.0007015594
340,80,-0.016382521,0.0017303001
360,80,-0.074085206,0.051803354
380,80,0.20900945,0.35569596
400,80,-0.4270123,1.143137
420,80,-1.1496192,2.9302657
440,80,0.09355475,0.81862247
460,80,0.35324863,0.33529234
480,80,-0.21420369,0.23356637
500,80,-0.30431557,0.30083516
520,80,-0.19597334,0.42142516
540,80,-0.27183887,0.3510848
560,80,0.060845762,0.152216
580,80,-0.23097874,-0.2350917
600,80,0.06793996,0.43222582
620,80,-0.22460629,0.45074174
640,80,-0.14047734,0.29481223
660,80,0.091664195,1.9124118
680,80,-0.18805401,0.42419228
700,80,-0.2812951,0.26521376
720,80,-0.26919466,0.18637006
740,80,-0.24346177,0.0056270612
760,80,-0.012739462,0.069821075
780,80,-0.0050515877,0.004312732
800,80,-0.17876238,-0.012330545
820,80,-0.2788861,0.28767082
840,80,-0.20590451,-0.1817538
860,80,-0.06841661,0.039240655
880,80,-0.2529971,0.007347369
900,80,-0.042803157,0.0022988482
920,80,-0.057149798,0.015669933
940,80,-0.21689184,-0.048400786
960,80,-0.0036112925,0.0042762333
980,80,7.456208e-06,3.5418573e-06
0,100,0.022028765,0.00292639
20,100,-0.35784116,0.009933031
40,100,-0.0015261373,-7.514845e-05
60,100,-0.031136371,0.031270277
80,100,0.01404741,0.062440705
100,100,-0.1857209,-0.0038019519
120,100,-0.012263664,0.043813784
140,100,-0.0991612,0.07837615
160,100,-0.07659452,0.0007409505
180,100,-0.004042257,0.0007451803
200,100,-0.20276286,0.1672576
220,100,-0.2500873,0.005308975
240,100,-0.2587966,-0.006534427
260,100,-0.2624944,0.05871914
280,100,-0.0016266686,-0.00034184824
