x,y,fx,fy
0,0,0.00022917459,-5.9131726e-05
20,0,-0.12553826,0.039240725
40,0,0.06470445,-0.053423107
60,0,-0.03832784,-0.10889386
80,0,-0.11162096,0.04984071
100,0,0.06653888,0.030936247
120,0,0.03663189,0.014487676
140,0,-0.049517114,-0.031755704
160,0,0.13573574,0.009016026
180,0,0.31102192,0.07482538
200,0,0.078745745,-0.029498847
220,0,0.01183502,-0.0046606446
240,0,0.015586343,0.016036315
260,0,-0.009164109,-0.0015006246
280,0,0.11376856,-0.086336136
300,0,-0.0037506795,0.020171747
320,0,-0.029948998,-0.011175654
340,0,0.013747134,0.06585777
360,0,0.017614063,0.009914358
380,0,-0.03976238,0.022905726
400,0,0.0019640361,0.057704285
420,0,0.0010476063,0.041444313
440,0,0.02266303,-0.034516603
460,0,0.00975145,0.0042182864
480,0,0.056417868,0.19193754
500,0,-0.117082246,0.021223685
520,0,-0.0416255,0.037245687
540,0,-0.060590826,0.070618235
560,0,-0.0013540124,-0.003365891
580,0,0.010876527,-0.008560007
600,0,-0.015190758,0.018063853
620,0,-0.040948384,-0.06292939
640,0,0.11727012,0.012068521
660,0,-0.020535763,-0.001779999
680,0,-0.001884001,-0.018595418
700,0,0.031729367,-0.017219128
720,0,0.0036899797,0.009014252
740,0,-0.0041932594,0.0073504373
760,0,0.0075949156,0.009964775
780,0,-0.036277585,0.020700337
800,0,-8.81736e-05,0.00010267974
820,0,0.06459909,0.047530424
840,0,-0.08781567,0.031637266
860,0,0.07974824,-0.013632722
880,0,0.0056622527,-0.05083999
900,0,0.043931793,-0.0051729004
920,0,0.002037436,-0.00047584617
940,0,-0.060698375,0.05800872
960,0,-0.013939846,0.1440902
980,0,-0.008133077,-0.02415937
0,20,0.031841934,0.09806354
20,20,-0.0043128366,0.0103264125
40,20,-0.12624064,0.057862718
60,20,-0.060063425,0.042059917
80,20,-0.0013043297,0.0022835406
100,20,-0.028620478,-0.11364982
120,20,0.00389754,0.030734444
140,20,0.031478673,0.10827719
160,20,-0.011378373,-0.002447656
180,20,0.10221097,-0.003613757
200,20,-0.0100396015,0.0011396836
220,20,0.0038646448,-0.0034725256
240,20,0.07229044,0.06820976
260,20,0.00081167865,0.009896404
280,20,-0.015833754,0.03381943
300,20,-0.004818577,0.004109732
320,20,-0.14941512,0.017804056
340,20,-0.006633426,-0.15733619
360,20,-0.00025708837,-0.0010142183
380,20,0.003795827,0.0057813544
400,20,0.02097744,-0.00379942
420,20,0.02480495,0.21764007
440,20,0.0061095846,0.08348748
460,20,0.0072119953,0.0071733845
480,20,0.059868794,0.020131186
500,20,0.02807258,0.072555125
520,20,-0.025937932,0.19217527
540,20,-0.014735172,0.01618623
560,20,0.0045779245,0.034258235
580,20,0.021512989,0.03844939
600,20,-0.0072356844,0.011089778
620,20,0.020984508,-0.05108102
640,20,0.02404829,0.011724118
660,20,0.018400377,0.05496719
680,20,-0.009347938,0.040984355
700,20,0.06722656,-0.028261889
720,20,0.01348049,0.005065654
740,20,0.0018504374,-0.008711302
760,20,-0.021971764,0.0062444247
780,20,0.0018275537,0.0027552643
800,20,0.019567575,0.006413957
820,20,-0.018715482,0.052387886
840,20,-0.06089297,-0.007881586
860,20,0.027762542,0.024986127
880,20,0.055803042,0.045360953
900,20,-0.014925491,0.0034135152
