x,y,fx,fy
0,0,-0.1849758,0.22186805
20,0,-0.26373845,0.012953936
40,0,0.011951313,0.054995276
60,0,0.03880687,0.05941586
80,0,0.02731905,-0.08911906
100,0,0.010765697,0.020713877
120,0,0.04879747,0.009519033
140,0,-0.0060501024,0.00040171485
160,0,0.0054420144,-0.06513295
180,0,-0.13977496,0.07731797
200,0,0.23774333,0.12685382
220,0,0.13486399,0.05591796
240,0,-0.16321352,0.12505005
260,0,0.0018616236,-0.006290366
280,0,0.038157664,-0.015374201
300,0,0.00275812,-0.15282628
320,0,-0.024567487,0.0770642
340,0,0.19388522,0.00035139138
360,0,-0.02672739,0.07865926
380,0,0.03259718,0.039041463
400,0,-0.122167304,-0.016843552
420,0,-0.021864882,0.0064693163
440,0,-0.0015847388,0.001433149
460,0,0.010290871,-0.06595596
480,0,0.00849911,0.011997407
500,0,0.035901017,-0.026959538
520,0,0.04370148,0.16817965
540,0,0.17121513,0.0842499
560,0,0.00445203,0.026183778
580,0,0.0019933474,0.021896051
600,0,-0.0009969943,-0.05113876
620,0,-0.11472337,0.008258351
640,0,0.07600587,-0.094610944
660,0,0.02551082,0.032380123
680,0,-0.019518536,-0.017426498
700,0,-0.06832096,-0.056289338
720,0,-0.00095938676,0.034038663
740,0,0.018638587,-0.097232744
760,0,0.015668785,-0.014806765
780,0,-0.029304596,0.0034776193
800,0,-0.042155735,0.009771375
820,0,-0.11447579,0.0990905
840,0,0.077196866,0.16690725
860,0,0.027617175,-0.006713171
880,0,0.087711565,-0.10418317
900,0,0.052549485,0.09854126
920,0,0.019166272,0.010422939
940,0,0.02761844,-0.09414854
960,0,-0.13457872,-0.015195464
980,0,-0.099401645,0.1266869
0,20,-0.039420903,0.2348631
20,20,-0.008703834,0.015218593
40,20,-0.031571228,-0.0037589637
60,20,0.027093882,0.03718086
80,20,0.01758989,0.048888084
100,20,-0.0030176793,2.2087723e-05
120,20,0.026722668,-0.009196384
140,20,0.006226257,-0.00056671945
160,20,0.035883628,0.05406226
180,20,-0.025743827,0.060843952
200,20,-0.009815935,-0.0640024
220,20,0.008164743,0.00926738
240,20,0.0014331914,0.0032763905
260,20,0.0032858802,-0.014695849
280,20,0.095535465,-0.016853193
300,20,-0.040431086,-0.0787547
320,20,0.029003348,0.053565674
340,20,0.022647956,0.024263192
360,20,0.057726644,0.025205687
380,20,-0.023630613,0.11164434
400,20,-0.08278112,-0.03905759
420,20,0.048774563,-0.003142294
440,20,0.0011922263,-0.06122071
460,20,-8.419857e-06,-0.00015989487
480,20,0.03343479,0.0151427705
500,20,0.07396997,0.06887456
520,20,-0.0259439,0.14366257
540,20,0.02424527,-0.080910705
560,20,0.03754198,0.08656578
580,20,0.0031311002,0.008030899
600,20,0.0537001,0.075274736
620,20,0.0044895075,-0.019007215
640,20,0.054505773,-0.04806293
660,20,0.039723847,0.002919117
680,20,0.0104129035,0.01657792
700,20,-0.030158155,0.0111967875
720,20,0.033867966,-0.09146432
740,20,0.07485361,0.06227833
760,20,-0.05705626,0.018901011
780,20,0.13056955,0.06845933
800,20,0.02786736,-0.010495551
820,20,0.023966469,0.04069052
840,20,-0.004115709,1.1722418e-05
860,20,-0.038316634,-0.020084487
880,20,0.10385875,0.0040565357
900,20,0.021561122,-0.12885709
920,20,-0.0012296712,-0.0025650738
940,20,-0.035126105,0.011341233
960,20,-0.0035060574,0.020113515
980,20,0.0025585233,0.08401228
0,40,0.17277887,-0.03389003
20,40,0.014330093,0.000726424
40,40,-0.02222892,0.032270797
60,40,0.022941872,-0.09365002
80,40,0.036991805,-0.014102991
100,40,0.045544855,0.01317155
120,40,0.06412958,-0.043999348
140,40,0.02899975,-0.07808262
160,40,-0.001981769,0.028638043
180,40,0.12828024,-0.02070523
200,40,0.000988176,0.0025788003
220,40,0.12397817,0.023821007
240,40,-0.044582345,0.06549353
260,40,0.003215639,-0.0020593333
280,40,0.063434675,0.019808687
300,40,0.07530232,0.004775558
320,40,0.17598878,0.028016472
340,40,0.021915518,0.0057271924
360,40,-0.10592148,-0.029075421
380,40,-0.06937741,0.09355658
400,40,0.031090584,-0.008306468
420,40,0.010519157,0.024303116
440,40,-0.015519105,-0.108820476
460,40,-0.008262135,0.11687068
480,40,-0.063709736,0.12620327
500,40,0.034543186,0.09931959
520,40,0.011621179,-0.00011615756
540,40,0.13004418,0.011250602
560,40,0.062284887,0.0039598737
580,40,-0.090905726,-0.013618704
600,40,0.015916003,0.023124766
620,40,-0.027535917,0.24106812
640,40,-0.08033377,-0.012827575
660,40,0.02933615,0.020483121
680,40,-0.10524266,0.0131607065
700,40,0.00044078132,0.0368979
720,40,-0.046838902,0.07277198
740,40,0.16742453,-0.0043044337
760,40,0.06658053,0.04698518
780,40,0.06746372,0.029823242
800,40,0.13396274,-0.087048486
820,40,-0.005405896,-0.013683964
840,40,0.00066744274,0.01224093
860,40,-0.049048834,-0.008479066
880,40,-0.15479945,0.070452735
900,40,-0.016816681,-0.021327466
920,40,0.025389282,0.044182293
940,40,0.05824545,0.16772766
960,40,-0.072237365,0.013854473
980,40,-0.01840621,0.00069420197
0,60,0.00047282086,0.00019004307
20,60,0.013592227,0.0028995979
40,60,0.05044752,0.03767705
60,60,-0.007480562,0.010213321
80,60,-0.06500113,0.018079428
100,60,-0.009881018,0.18213472
120,60,0.004778866,-0.03301216
140,60,-0.07201408,-0.049813297
160,60,-0.01547215,0.10628323
180,60,0.06290702,-0.006691097
200,60,-0.024307597,-0.014045065
220,60,0.08517077,-0.03963231
240,60,0.033349708,-0.006391388
260,60,-0.0024821388,0.015115883
280,60,-0.009321086,0.07439512
300,60,0.010429271,0.028576681
320,60,0.024970405,0.015279207
340,60,0.010003233,-0.006880301
360,60,-0.17245494,0.018630028
380,60,-0.019361772,-0.007954763
400,60,0.086684,-0.020779997
420,60,0.005329238,0.0615159
440,60,0.24197534,0.1901267
460,60,-0.021005392,0.031157011
480,60,-0.11532453,-0.0274932
500,60,0.008110195,-0.013551428
520,60,-0.024163732,0.042958546
540,60,-0.15662882,0.07909631
560,60,0.03636865,0.044137377
580,60,0.09561074,0.01684932
600,60,0.053884696,-0.1574044
620,60,0.013847612,0.04468728
640,60,-0.045764375,-0.016265571
660,60,-0.023003392,0.031814083
680,60,-0.051429592,0.04990531
700,60,0.020887727,0.051446132
720,60,0.09461603,-0.13073479
740,60,-0.017286064,0.026448907
760,60,-0.00046622322,0.035159912
780,60,-0.010844137,0.016294498
800,60,0.029904088,0.02756773
820,60,-0.08652013,-0.036134597
840,60,-0.024065832,0.055773746
860,60,0.031539656,0.10121163
880,60,0.19654398,0.08661454
900,60,0.015494086,0.0080395825
920,60,0.15480448,-0.017563524
940,60,0.07032628,0.046597764
960,60,0.027565181,0.08142144
980,60,-0.0115816565,-0.005810746
0,80,-0.09172311,-0.009671638
20,80,0.079324104,0.022646183
40,80,0.06404549,-0.05024482
60,80,0.0071136123,0.04126787
80,80,0.018894404,0.0688495
100,80,-0.15988186,-7.699292e-05
120,80,-0.049014047,-0.102975346
140,80,0.015131388,-0.011362586
160,80,-0.023410687,-0.045917347
180,80,0.052870058,-0.042130962
200,80,-0.00824992,0.004711678
220,80,-0.17636456,-0.0005926093
240,80,-0.099493,-0.0042425157
260,80,0.0014271431,-0.0045135934
280,80,0.00025952683,0.00048107016
300,80,-0.09683038,-0.011442118
320,80,0.020915417,0.033032544
340,80,0.0005765377,-0.0021666382
360,80,-0.253148,-0.21663147
380,80,-0.004669931,-0.0060940073
400,80,0.013372063,0.06279797
420,80,-0.025970425,0.03196489
440,80,-0.0042391317,0.06987266
460,80,0.024061078,0.14141333
480,80,0.073283724,-0.056976043
500,80,-0.007039317,0.00088757713
520,80,-0.049501732,0.027793605
540,80,-0.11668608,0.020676613
560,80,-0.0020729788,-0.003279271
580,80,0.1703499,0.08159396
600,80,0.008423939,-0.0105172815
620,80,-0.017589735,0.0021812965
640,80,-0.007276706,-0.00048433317
660,80,0.22691005,0.04954141
680,80,-0.008671951,0.02937296
700,80,-0.079162575,-0.010738662
720,80,-0.115639806,0.09437016
740,80,-0.017628154,0.022381393
760,80,-0.011108425,0.029606717
780,80,0.025207104,0.056540933
800,80,-0.13102144,0.065426365
820,80,0.08524908,-0.009346234
840,80,0.13188662,0.010468679
860,80,0.009366452,-0.04048401
880,80,0.014863794,-0.07139026
900,80,-0.009030284,-0.0044087796
920,80,-0.017670894,-0.0680983
940,80,-0.10080795,-0.11826158
960,80,-0.0029553324,0.004816013
980,80,-0.009186664,0.19595215
0,100,0.050005406,0.035190806
20,100,0.013324174,-0.022128267
40,100,0.017616024,0.044922408
60,100,0.030393675,-0.0030526943
80,100,0.010533257,0.06619445
100,100,-0.025518937,-0.09871753
120,100,-0.09295483,0.05962531
