x,y,fx,fy
0,0,-0.13673301,-0.06820658
20,0,0.05020254,0.01627759
40,0,-0.006983127,0.004388984
60,0,-0.0056646774,-0.017703988
80,0,-0.045456856,0.020401137
100,0,0.019391112,0.07680789
120,0,-0.042161234,0.002761181
140,0,0.0048004626,0.0035346155
160,0,0.0043864166,0.13837229
180,0,-0.07691354,-0.020936254
200,0,-0.0057198894,-0.04013302
220,0,-0.04608151,0.09299424
240,0,-0.0013563388,-0.003653853
260,0,-0.21147728,-0.12875016
280,0,-0.18907937,0.055373915
300,0,-0.1984203,0.007492325
320,0,0.027203163,0.0009297637
340,0,0.050590638,0.049113158
360,0,0.09725195,-0.06726909
380,0,0.1098799,0.116971165
400,0,-0.06334674,-0.05380067
420,0,-0.082741804,-0.068659306
440,0,-0.014730919,-0.0037994832
460,0,0.0019621842,-0.011692472
480,0,0.002067014,-0.020301022
500,0,-0.00026937394,0.014907119
520,0,-0.036838192,0.06545245
540,0,0.0059505524,0.023815207
560,0,-0.020208683,0.004704289
580,0,-0.0693219,-0.05918786
600,0,-0.002291468,-0.00013874515
620,0,0.04346523,-0.00051431096
640,0,-0.05287677,-0.02972458
660,0,0.00034680756,0.0002620096
680,0,-0.0008318288,0.0065527684
700,0,-0.028812645,0.029169127
720,0,-0.012039904,0.044753708
740,0,-0.027512362,0.051303
760,0,-0.023348343,0.057752598
780,0,0.021076322,-0.07944679
800,0,-0.038106967,0.016549904
820,0,-0.00893612,0.009061001
840,0,-0.11323979,0.15740475
860,0,-0.019395793,0.019727595
880,0,-0.018501585,0.043017283
900,0,-0.058375128,-0.16077179
920,0,-0.010236841,0.019951448
940,0,0.11005322,-0.0236255
960,0,0.0552597,-0.01938846
980,0,-0.015409972,0.027238384
0,20,-0.18601465,-0.066150896
20,20,-0.004151665,-0.05512056
40,20,0.024079934,0.007816617
60,20,0.003068514,0.023337923
80,20,-0.11590257,0.033098843
100,20,0.014836264,-0.010286282
120,20,-0.042979605,0.016008137
140,20,-0.045890294,-0.03310728
160,20,-0.053897634,-0.0008251286
180,20,0.0060410486,0.035669368
200,20,-0.020859232,0.025018878
220,20,-0.023469819,-0.0025812087
240,20,0.033617947,0.023879204
260,20,0.020115826,0.054202646
280,20,-0.000715945,0.10488998
300,20,0.05084207,-0.02632284
320,20,0.07974901,0.01706694
340,20,-0.047983106,-0.062773995
360,20,0.0070963437,-0.009134631
380,20,-0.009210683,0.019728435
400,20,-0.024868703,-0.11425109
420,20,0.026021922,-0.0049854517
440,20,-0.0563413,0.058838982
460,20,-0.020106118,0.01941505
480,20,0.0027963829,-0.02747091
500,20,0.0006651459,-0.000581087
520,20,-0.12673886,-0.0765522
540,20,0.07247198,-0.00430265
560,20,-0.022467515,-0.0012803541
580,20,-0.040898446,0.039579865
600,20,-0.003671491,-0.012771787
620,20,0.011874983,-0.057948682
640,20,-0.015566638,-0.0093502
660,20,0.05233438,-0.035226498
680,20,0.01892158,0.05242334
700,20,0.012992555,-0.025691828
720,20,0.016442845,-0.07604382
740,20,0.023490818,0.015299839
760,20,-0.031547233,0.033767257
780,20,-0.017831592,0.015638746
800,20,-0.01894461,0.0002830465
820,20,0.02645622,-0.013159942
840,20,0.020248279,-0.0051205014
860,20,0.0069732433,0.023171736
880,20,0.016604751,-0.055974875
900,20,0.039661884,0.09767696
920,20,0.0005967105,-0.0073008924
940,20,0.059200402,-0.01189994
960,20,-0.003914774,-0.025595414
980,20,0.033725068,-0.01630638
0,40,0.036842972,0.018966466
20,40,0.013188557,0.054966696
40,40,-0.09039565,-0.0839237
60,40,0.11315771,0.054516237
80,40,0.020429194,0.050921615
100,40,-0.013196152,0.011414281
120,40,0.014751758,-0.092610784
140,40,-0.07126002,-0.0688281
160,40,0.10273084,0.057682525
180,40,-0.14086245,-0.06149824
200,40,0.07226798,-0.051410653
220,40,-0.0030268428,-0.0059492537
240,40,-0.0037840053,0.0069772266
260,40,-0.11419852,0.10024242
280,40,0.011382975,-0.0076227337
