x,y,fx,fy
0,0,-0.24393785,0.18554774
20,0,-0.2544152,0.26036867
40,0,-0.24339987,0.27059758
60,0,-0.2582418,0.3151969
80,0,-0.085872665,0.22908524
100,0,-0.23569776,0.35251537
120,0,-0.28012156,0.22687797
140,0,-0.2518968,0.26510063
160,0,-0.26131564,0.2121643
180,0,-0.24917832,0.2710009
200,0,-0.25750935,0.20930596
220,0,-0.2285831,0.24197538
240,0,-0.30069923,0.09759174
260,0,-0.16141003,0.19018221
280,0,-0.25158834,0.2123999
300,0,-0.29511532,0.28391933
320,0,-0.2504313,0.09097283
340,0,-0.26696545,0.009555205
360,0,-0.2520086,-0.022934439
380,0,-0.24477528,0.012820551
400,0,-0.3641415,0.016087407
420,0,-0.2489397,0.009994166
440,0,-0.28214997,0.044247672
460,0,-0.250767,-0.0038659417
480,0,-0.24689619,0.008777913
500,0,-0.2464568,-0.14642918
520,0,-0.21599986,-0.011176588
540,0,-0.25126812,-0.0057954327
560,0,-0.23481423,-0.0011149051
580,0,-0.31542736,0.059365068
600,0,-0.2492714,-0.008242663
620,0,-0.29563025,-0.025916362
640,0,-0.29329652,-0.014362963
660,0,-0.20637378,-0.017984547
680,0,-0.21036471,0.021693453
700,0,-0.24332522,0.2766493
720,0,-0.30525815,0.00915774
740,0,-0.27031335,-0.006307938
760,0,-0.24902657,0.0074472977
780,0,-0.23422346,-0.010172835
800,0,-0.24580921,-0.0031880683
820,0,-0.41546357,-0.14688386
840,0,-0.24386837,0.0024677159
860,0,-0.247895,-0.016303292
880,0,-0.23259772,-0.14055933
900,0,-0.23848055,-0.026621768
920,0,-0.24783221,-0.0342196
940,0,-0.20828521,-0.14595476
960,0,-0.21467648,-0.15100999
980,0,-0.24449942,-0.20461155
0,20,-0.27781072,0.24875554
20,20,-0.26919696,0.24922246
40,20,-0.26081112,0.26410142
60,20,-0.26377594,0.21164756
80,20,-0.27607957,0.26086938
100,20,-0.24668655,0.17060465
120,20,-0.40350705,0.24582869
140,20,-0.25346446,0.24005814
